CLAVE EMISORA,RAZON SOCIAL
AC,"ARCA CONTINENTAL, S.A.B. DE C.V."
ACCELSA,"ACCEL, S.A.B. DE C.V."
ACTINVR,"CORPORACION ACTINVER, S.A.B. DE C.V."
AEROMEX,"GRUPO AEROMÉXICO, S.A.B. DE C.V."
AGRIEXP,"AGRO INDUSTRIAL EXPORTADORA, S.A. DE C.V."
AGUA,"GRUPO ROTOPLAS, S.A.B. DE C.V."
AHMSA,"ALTOS HORNOS DE MEXICO, S.A. DE C.V."
ALFA,"ALFA, S.A.B. DE C.V."
ALPEK,"ALPEK, S.A.B. DE C.V."
ALSEA,"ALSEA, S.A.B. DE C.V."
AMX,"AMERICA MOVIL, S.A.B. DE C.V."
ANB,ANHEUSER-BUSCH INBEV SA/NV
ARA,"CONSORCIO ARA, S.A.B. DE C.V."
ARISTOS,"CONSORCIO ARISTOS, S.A.B. DE C.V."
ASUR,"GRUPO AEROPORTUARIO DEL SURESTE, S.A.B. DE C.V."
AUTLAN,"COMPAÑIA MINERA AUTLAN, S.A.B. DE C. V."
AXTEL,"AXTEL, S.A.B. DE C.V."
AZTECA,"TV AZTECA, S.A.B. DE C.V."
BACHOCO,"INDUSTRIAS BACHOCO, S.A.B. DE C.V."
BAFAR,"GRUPO BAFAR, S.A.B. DE C.V."
BBAJIO,"BANCO DEL BAJÍO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE"
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
BEVIDES,"FARMACIAS BENAVIDES, S.A.B. DE C.V."
BIMBO,"GRUPO BIMBO, S.A.B. DE C.V."
BOLSA,"BOLSA MEXICANA DE VALORES, S.A.B. DE C.V."
BSMX,"BANCO SANTANDER (MEXICO), S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER"
C,CITIGROUP INC.
CABLE,"EMPRESAS CABLEVISION, S.A. DE C.V."
CADU,CORPOVAEL S.A.B. DE C.V.
CEMEX,"CEMEX, S.A.B. DE C.V."
CERAMIC,"INTERNACIONAL DE CERAMICA, S.A.B. DE C.V."
CHDRAUI,"GRUPO COMERCIAL CHEDRAUI, S.A.B. DE C.V."
CIDMEGA,"GRUPE, S.A.B. DE C.V."
CIE,"CORPORACION INTERAMERICANA DE ENTRETENIMIENTO, S.A.B. DE C.V."
CMOCTEZ,"CORPORACION MOCTEZUMA, S.A.B. DE C.V."
CMR,"CMR, S.A.B. DE C.V."
COLLADO,"G COLLADO, S.A.B. DE C.V."
CONVER,"CONVERTIDORA INDUSTRIAL, S.A.B. DE C.V."
CREAL,"CREDITO REAL, S.A.B. DE C.V., SOFOM, E.R."
CUERVO,"BECLE, S.A.B. DE C.V."
CULTIBA,"ORGANIZACIÓN CULTIBA, S.A.B. DE CV"
CYDSASA,"CYDSA, S.A.B. DE C.V."
DINE,"DINE, S.A.B. DE C.V."
EDOARDO,"EDOARDOS MARTIN, S.A.B. DE C.V."
ELEKTRA,"GRUPO ELEKTRA, S.A.B. DE C.V."
ELEMENT,"ELEMENTIA, S.A.B. DE C.V."
FEMSA,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V."
FINAMEX,"CASA DE BOLSA FINAMEX, S.A.B. DE C.V."
FINDEP,"FINANCIERA INDEPENDENCIA, S.A.B. DE C.V. SOFOM, E.N.R."
FRAGUA,"CORPORATIVO FRAGUA, S.A.B. DE C.V."
FRES,FRESNILLO PLC
GAP,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V."
GBM,"CORPORATIVO GBM, S.A.B. DE C. V."
GCARSO,"GRUPO CARSO, S.A.B. DE C.V."
GCC,"GRUPO CEMENTOS DE CHIHUAHUA, S.A.B. DE C.V."
GENSEG,"GENERAL DE SEGUROS, S.A.B."
GENTERA,"GENTERA, S.A.B. DE C.V."
GEO,"CORPORACION GEO, S.A.B. DE C.V."
GFAMSA,"GRUPO FAMSA, S.A.B. DE C.V."
GFINBUR,"GRUPO FINANCIERO INBURSA, S.A.B. DE C.V."
GFMULTI,GRUPO FINANCIERO MULTIVA S.A.B. DE C.V.
GFNORTE,"GRUPO FINANCIERO BANORTE, S.A.B DE C.V."
GICSA,"GRUPO GICSA, S.A.B. DE C.V."
GIGANTE,"GRUPO GIGANTE, S.A.B. DE C.V."
GISSA,"GRUPO INDUSTRIAL SALTILLO, S.A.B. DE C.V."
GMD,"GRUPO MEXICANO DE DESARROLLO, S.A.B."
GMEXICO,"GRUPO MEXICO, S.A.B. DE C.V."
